url,expected,predicted,predicted_risk,confidence,correct,explanation
br-icloud.com.br,phishing,phishing,High,95.0,True,"Likely defaced website - High-risk country domain: .br, High-risk country domain: .co"
mp3raid.com/music/krizz_kaliko.html,benign,benign,Low,60.0,True,No strong threat indicators detected
bopsecrets.org/rexroth/cr/1.htm,benign,benign,Low,60.0,True,No strong threat indicators detected
http://www.garage-pirenne.be/index.php?option=com_content&view=article&id=70&vsig70_0=15,defacement,defacement,High,95.0,True,"Likely defaced website - High-risk country domain: .be, Country domain with web script patterns, CMS vulnerability patterns (1 matches)"
http://adventure-nicaragua.net/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL2FkdmVudHVyZQ...,defacement,defacement,High,70.0,True,Suspicious characteristics with limited legitimacy signals
http://buzzfil.net/m/show-art/ils-etaient-loin-de-s-imaginer-que-le-hibou-allait-faire-ceci-quand-il...,benign,phishing,High,70.0,False,Suspicious characteristics with limited legitimacy signals
espn.go.com/nba/player/_/id/3457/brandon-rush,benign,benign,Low,60.0,True,No strong threat indicators detected
yourbittorrent.com/?q=anthony-hamilton-soulife,benign,benign,Low,60.0,True,No strong threat indicators detected
http://www.pashminaonline.com/pure-pashminas,defacement,defacement,High,95.0,True,"Likely defaced website - Product Paths patterns, High-risk country domain: .co"
allmusic.com/album/crazy-from-the-heat-r16990,benign,benign,Low,60.0,True,No strong threat indicators detected
corporationwiki.com/Ohio/Columbus/frank-s-benson-P3333917.aspx,benign,benign,Low,95.0,True,Trusted domain: Trusted domain
http://www.ikenmijnkunst.nl/index.php/exposities/exposities-2006,defacement,defacement,High,95.0,True,"Likely defaced website - Dutch content patterns (2 matches), High-risk country domain: .nl, Country domain with web script patterns"
myspace.com/video/vid/30602581,benign,benign,Low,60.0,True,No strong threat indicators detected
http://www.lebensmittel-ueberwachung.de/index.php/aktuelles.1,defacement,defacement,High,95.0,True,"Likely defaced website - German content patterns (3 matches), High-risk country domain: .de, Country domain with web script patterns"
http://www.szabadmunkaero.hu/cimoldal.html?start=12,defacement,defacement,High,95.0,True,"Likely defaced website - Hungarian content patterns (3 matches), High-risk country domain: .hu, Country domain with web script patterns"
http://larcadelcarnevale.com/catalogo/palloncini,defacement,defacement,High,95.0,True,"Likely defaced website - Italian content patterns (3 matches), High-risk country domain: .co"
quickfacts.census.gov/qfd/maps/iowa_map.html,benign,benign,Low,95.0,True,Trusted domain: Government/educational domain
nugget.ca/ArticleDisplay.aspx?archive=true&e=1160966,benign,benign,Low,60.0,True,No strong threat indicators detected
uk.linkedin.com/pub/steve-rubenstein/8/718/755,benign,benign,Low,95.0,True,Trusted domain: Trusted domain
http://www.vnic.co/khach-hang.html,defacement,defacement,High,95.0,True,"Likely defaced website - Vietnamese content patterns (2 matches), High-risk country domain: .co"
baseball-reference.com/players/h/harrige01.shtml,benign,benign,Low,60.0,True,No strong threat indicators detected
signin.eby.de.zukruygxctzmmqi.civpro.co.za,phishing,phishing,High,95.0,True,"Likely phishing - Suspicious auth subdomain: signin.eby.de.zukruygxctzmmqi, Suspicious long subdomain: signin.eby.de.zukruygxctzmmqi"
192.com/atoz/people/oakley/patrick/,benign,benign,Low,95.0,True,Trusted domain: Trusted domain
nytimes.com/1998/03/29/style/cuttings-oh-that-brazen-raucous-glorious-hibiscus.html,benign,benign,Low,95.0,True,Trusted domain: Trusted domain
escholarship.org/uc/item/5xt4952c,benign,benign,Low,60.0,True,No strong threat indicators detected
songfacts.com/detail.php?id=13410,benign,benign,Low,60.0,True,No strong threat indicators detected
casamanana.org/education/blba/,benign,benign,Low,60.0,True,No strong threat indicators detected
http://hollywoodlife.com/2014/05/01/rihanna-iheartradio-music-awards-dress-2014-pics/,benign,phishing,High,70.0,False,Suspicious characteristics with limited legitimacy signals
